,Region,2021,2022,2023,2024,2025
0,AL & FL,682044,864583,745139,715618,607719
1,AR,1214531,1393575,1188231,1646220,1315892
2,AZ & NM,380593,374611,289167,328267,265156
3,CA,276382,322003,203807,284928,304014
4,GA,2749993,3298925,2471539,2388078,2255468
5,KS & OK,808385,434735,390544,495497,704818
6,LA,255930,413991,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1069235,1258327,943058,1185133,876046
9,NC & VA,986675,1280817,989468,1105728,938372
10,SC,397961,439407,319348,327877,286901
11,TN,1142291,1444533,1410092,1585794,944361
12,TX,8250814,3471825,3124731,4826155,6124811
