,Region,2021,2022,2023,2024,2025
0,AL & FL,107120,279679,248029,288096,208454
1,AR,417015,507599,606679,757666,619226
2,AZ & NM,33684,36516,28018,30849,18184
3,CA,71775,70562,29334,54780,56149
4,GA,316941,732553,400636,382091,393010
5,KS & OK,133118,68575,77949,98917,96387
6,LA,137299,310811,212193,269226,169750
7,MO,87948,146462,144791,181799,118109
8,MS,336208,650667,582842,698168,457920
9,NC & VA,256199,372817,221316,213178,204508
10,SC,71582,105478,53767,76342,36973
11,TN,327648,478820,568808,672881,430458
12,TX,2337487,1469599,1345603,1925122,1816349
