,Region,2021,2022,2023,2024,2025
0,AL & FL,696688,869422,758084,717226,610369
1,AR,1231019,1426249,1217813,1676602,1321086
2,AZ & NM,388019,383128,295261,331670,271106
3,CA,276743,323477,203899,285393,304939
4,GA,2848448,3357578,2540665,2522193,2370811
5,KS & OK,828381,454774,390598,506240,753232
6,LA,255930,414167,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1100001,1262474,973337,1207382,901058
9,NC & VA,1027199,1307692,1047397,1149896,990402
10,SC,402343,440101,322388,333451,290823
11,TN,1148677,1474944,1436411,1648372,973580
12,TX,8417799,3518905,3208594,5008710,6278298
