,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,610369,599816,15811,153469,287559,1920,307,1066,290852
1,AR,1321086,1240091,131432,334442,848876,6592,162,1501,857131
2,AZ & NM,271106,271106,108448,78463,214749,15937,1642,1666,233994
3,CA,304939,304939,165690,14778,217449,26273,2924,3335,249981
4,GA,2370811,1798441,24699,670055,1063913,26650,4897,2685,1098145
5,KS & OK,753232,711993,63300,161116,406259,910,139,451,407759
6,LA,264630,264278,6310,55559,104102,362,112,1240,105816
7,MO,320299,320299,48755,85861,198239,819,37,135,199230
8,MS,901058,699796,55354,171728,492699,3053,364,2734,498850
9,NC & VA,990402,835179,24350,184237,482080,10940,2608,1993,497621
10,SC,290823,274018,1202,66520,181754,1355,166,489,183764
11,TN,973580,850535,246611,236191,701449,12699,1407,1716,717271
12,TX,6278298,5202000,509517,1028314,3100333,102230,17494,31935,3251992
13,--TOTAL,15650633,13372491,1401479,3240733,8299461,209740,32259,50946,8592406
