,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,632251,599839,7548,41123,92798,827,304,1060,94989
1,AR,1349264,1240091,75525,162471,317541,3089,118,754,321502
2,AZ & NM,278895,271867,89457,8510,118530,6372,1611,1194,127707
3,CA,304939,304939,66825,8233,95658,18880,1936,1062,117536
4,GA,2630581,1798901,23178,141328,267466,14187,1366,2613,285632
5,KS & OK,835955,760012,12810,86060,135736,257,60,231,136284
6,LA,264630,264278,4093,14421,24308,274,105,542,25229
7,MO,320299,320299,37486,31528,85089,430,15,129,85663
8,MS,1052870,699823,27289,136807,249262,1514,375,1003,252154
9,NC & VA,1087030,836142,21659,95739,237946,4702,2039,1869,246556
10,SC,294777,275088,3153,29998,59932,378,164,445,60919
11,TN,1116685,850589,181638,116637,387127,7951,449,675,396202
12,TX,7402812,5208121,155626,379049,1352146,52669,15579,29908,1450302
13,--TOTAL,17570988,13429989,706287,1251904,3423539,111530,24121,41485,3600675
