,Region,2021,2022,2023,2024,2025
0,AL & FL,535177,695090,643256,618860,533481
1,AR,1056772,1104834,1067042,1347787,1185121
2,AZ & NM,186849,163329,146334,143445,110803
3,CA,224726,242593,164715,202260,191129
4,GA,1692604,2265299,1638354,1501879,1418014
5,KS & OK,468982,291968,301476,340871,369165
6,LA,254493,396839,244245,374920,264029
7,MO,251407,326159,330433,346734,275194
8,MS,905348,1215839,920555,1111538,709358
9,NC & VA,848618,1038328,807204,845898,743369
10,SC,265258,295191,232020,252177,196924
11,TN,978893,1141216,1164788,1326775,767472
12,TX,5675663,2773231,2736559,3601478,4069701
