,Region,2021,2022,2023,2024,2025
0,AL & FL,18060,118630,88115,125923,99225
1,AR,153382,234521,340822,440474,320244
2,AZ & NM,13837,20972,15188,21714,10240
3,CA,20299,15550,3500,8686,13558
4,GA,73074,222658,99589,95100,136614
5,KS & OK,38655,16593,21515,30332,28848
6,LA,50338,191318,160560,174501,109961
7,MO,28426,62824,68885,93801,49385
8,MS,105007,342957,304315,421419,237511
9,NC & VA,68616,120941,34504,23873,38895
10,SC,18510,40562,8067,18608,8972
11,TN,89586,195004,266393,344819,201986
12,TX,1345997,1236937,1099040,1371950,1222550
