,Region,2021,2022,2023,2024,2025
0,AL & FL,724899,885021,772448,720219,625028
1,AR,1249542,1464373,1260717,1714346,1338556
2,AZ & NM,390213,393160,298451,335274,276273
3,CA,276752,323517,204697,285457,304939
4,GA,3026919,3462568,2642748,2709158,2510388
5,KS & OK,830533,476371,403460,537031,810757
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1160868,1297710,1035613,1296188,974759
9,NC & VA,1072946,1356046,1114189,1210129,1065900
10,SC,417453,449107,331843,344233,293507
11,TN,1170778,1524898,1530414,1705863,1010773
12,TX,8659181,3608948,3431384,5265039,6746531
