,Region,2021,2022,2023,2024,2025
0,AL & FL,665090,836599,740848,694426,599238
1,AR,1172122,1308418,1139278,1602525,1261155
2,AZ & NM,316827,291825,260473,262589,215232
3,CA,271144,306558,200829,271375,262830
4,GA,2513008,3056253,2283895,2105221,1967556
5,KS & OK,721599,416781,382563,461267,593453
6,LA,255832,400544,244549,379220,264454
7,MO,315536,398194,381102,384789,320299
8,MS,1003568,1251919,930686,1152235,793259
9,NC & VA,954668,1222141,942797,1005008,863893
10,SC,383011,431245,312429,315570,278415
11,TN,1097598,1347272,1305884,1457027,850876
12,TX,7589295,3324105,3049434,4408949,5485575
