,State,Total Issued 2024,Total New Issued 2024,Held by CCC 2024,Under Shipping Order,Open 2024,Open 2023,Open 2022,Open 2021 and earlier,Total Open
0,AL & FL,720843,706146,22530,25798,84432,709,546,666,86353
1,AR,1736801,1582512,304739,85550,428968,1530,1069,781,432348
2,AZ & NM,339115,331915,121602,9744,160492,3950,2547,493,167482
3,CA,285457,285457,97775,4219,123084,4033,2745,1212,131074
4,GA,2880706,1949409,104064,153454,406885,10003,1256,1814,419958
5,KS & OK,541150,425132,4870,5442,31297,646,829,440,33212
6,LA,379254,379254,23240,12366,39257,299,825,549,40930
7,MO,388113,388113,63946,14566,82804,67,159,250,83280
8,MS,1414611,1104908,246105,125918,430633,6786,2381,904,440704
9,NC & VA,1264336,1002859,100079,85253,396893,4277,1712,1043,403925
10,SC,363003,321249,44848,26901,92754,370,194,333,93651
11,TN,1818024,1410500,295352,163562,609953,3184,768,2640,616545
12,TX,5549261,4025555,269070,148354,925874,23473,19789,21661,990797
13,--TOTAL,17680674,13913009,1698220,861127,3813326,59327,34820,32786,3940259
