,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,607545,599816,70770,146518,369169,2217,307,1066,372759
1,AR,1312569,1240091,645452,227065,973098,8204,162,1501,982965
2,AZ & NM,263056,263056,114673,53758,230078,19452,1643,1667,252840
3,CA,300060,300060,186307,17349,243609,29854,2966,3365,279794
4,GA,2218594,1797721,212167,734233,1358820,29388,4964,2750,1395922
5,KS & OK,692463,679903,80276,124242,448658,945,139,506,450248
6,LA,264630,264278,80081,34603,127371,362,112,1253,129098
7,MO,320299,320299,120459,74399,235513,844,37,198,236592
8,MS,866662,699796,387508,113244,529816,3616,369,2746,536547
9,NC & VA,930052,831557,121676,218975,586708,13613,2735,2040,605096
10,SC,285490,274018,118524,48730,216148,1545,166,489,218348
11,TN,934873,850489,572729,103459,732876,16841,1405,1822,752944
12,TX,6073312,5177343,1150658,705733,3628004,126888,17836,32044,3804772
13,--TOTAL,15069605,13298427,3861280,2602308,9679868,253769,32841,51447,10017925
