,Region,2021,2022,2023,2024,2025
0,AL & FL,40604,171544,135120,166443,135573
1,AR,251405,340130,425786,543210,415685
2,AZ & NM,18454,25082,19543,23309,11938
3,CA,33702,29841,7712,20626,24895
4,GA,143321,388752,173688,165402,196567
5,KS & OK,67944,35032,37437,50002,49577
6,LA,86517,241390,181959,201264,129077
7,MO,48839,93799,93993,123884,73122
8,MS,192470,472418,390568,505526,318525
9,NC & VA,130153,213913,77247,64041,83847
10,SC,34320,61790,23236,35975,16492
11,TN,179117,300009,366489,434997,284073
12,TX,1658255,1309475,1185845,1530798,1386361
