,Region,2021,2022,2023,2024,2025
0,AL & FL,687938,865674,747691,716434,607982
1,AR,1219353,1406481,1195224,1656663,1318999
2,AZ & NM,382844,377730,291637,330131,267698
3,CA,276472,322925,203807,285359,304325
4,GA,2774354,3317095,2493440,2440086,2297861
5,KS & OK,815413,439391,390548,497267,726084
6,LA,255930,413991,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1083640,1259119,947830,1193342,883550
9,NC & VA,998479,1286120,1010607,1124192,956003
10,SC,398481,439671,321073,330753,288380
11,TN,1144610,1458137,1420185,1612197,953926
12,TX,8315847,3489809,3155489,4896586,6179551
