,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,0,0,0,21270,0,32968,523,1142,34633
1,AR,0,0,0,74007,0,180612,339,1659,182610
2,AZ & NM,0,0,0,16790,0,115024,3063,2122,120209
3,CA,0,0,0,5368,0,78601,3311,3517,85429
4,GA,0,0,79,90761,0,176748,6319,2869,185936
5,KS & OK,0,0,0,791,0,6568,525,834,7927
6,LA,516,516,0,4559,516,8751,135,1270,10672
7,MO,0,0,0,9393,0,34556,49,383,34988
8,MS,0,0,0,135242,0,192145,1520,3118,196783
9,NC & VA,1,1,0,121690,0,192648,3563,2726,198937
10,SC,4,0,0,18315,0,35856,331,527,36714
11,TN,34,34,9924,107668,34,303814,1589,2768,308205
12,TX,471108,471108,126502,207271,459453,551213,20020,40319,1071005
13,--TOTAL,471663,471659,136505,813125,460003,1909504,41287,63254,2474048
