,Region,2021,2022,2023,2024,2025
0,AL & FL,3934,69428,51212.0,79752,61729
1,AR,58501,163236,231176.0,322015,205977
2,AZ & NM,10753,18097,11268.0,17948,8065
3,CA,6614,6533,,2600,2733
4,GA,21063,130556,46135.0,41355,94251
5,KS & OK,13594,6606,5376.0,11718,12406
6,LA,24096,150312,129371.0,131929,84010
7,MO,6603,44402,42664.0,60550,20608
8,MS,26450,248865,200523.0,310515,146224
9,NC & VA,24079,52461,10335.0,5912,13836
10,SC,2720,21536,2658.0,6158,1807
11,TN,22139,126018,159112.0,233987,106215
12,TX,1072001,1175433,1027740.0,1206863,1068198
