,Region,2021,2022,2023,2024,2025
0,AL & FL,47055,175521,140523,175209,144609
1,AR,270864,345043,437905,569961,439250
2,AZ & NM,20638,25082,19543,24520,12553
3,CA,38894,29841,7712,26164,26376
4,GA,160155,405734,180958,185870,214509
5,KS & OK,73118,36672,37794,53121,54671
6,LA,91949,242245,182372,214162,135018
7,MO,52935,97157,95825,130276,77423
8,MS,206582,476260,400404,529101,333091
9,NC & VA,143108,223766,84492,76675,93485
10,SC,38108,65147,24624,39298,19044
11,TN,197457,303319,379420,463957,302289
12,TX,1714487,1312789,1191886,1570460,1427470
