,Region,2021,2022,2023,2024,2025
0,AL & FL,690494,868453,753147,716786,607982
1,AR,1225320,1416382,1207265,1661020,1319348
2,AZ & NM,384346,379954,292448,330856,269906
3,CA,276743,323476,203807,285359,304367
4,GA,2810166,3335209,2510422,2474144,2331999
5,KS & OK,822964,447301,390598,500699,740713
6,LA,255930,414079,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1090467,1260614,955029,1198481,890238
9,NC & VA,1013386,1297993,1023508,1132237,967530
10,SC,399978,439935,321867,331802,289861
11,TN,1147924,1466634,1426917,1628496,959587
12,TX,8368048,3506318,3174038,4943776,6214763
