,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,632093,599839,7633,36922,95940,827,304,1060,98131
1,AR,1349189,1240091,76094,164310,331866,3167,133,754,335920
2,AZ & NM,278808,271867,91265,10024,121891,6372,1611,1194,131068
3,CA,304939,304939,67044,8853,97660,18880,1936,1062,119538
4,GA,2626568,1798901,23749,150437,281376,14659,1559,2621,300215
5,KS & OK,835603,760012,14197,66295,143419,286,60,231,143996
6,LA,264630,264278,4267,15557,26057,274,105,542,26978
7,MO,320299,320299,39301,31472,87627,430,15,129,88201
8,MS,1050738,699823,27466,140352,258640,1514,375,1001,261530
9,NC & VA,1086404,836142,21993,79855,246196,5588,2304,1869,255957
10,SC,294777,275088,3286,29169,62685,378,164,445,63672
11,TN,1115785,850589,182425,129895,401695,8303,507,742,411247
12,TX,7384827,5208121,179865,407722,1421236,54482,15638,29948,1521304
13,--TOTAL,17544660,13429989,738585,1270863,3576288,115160,24711,41598,3757757
