,Region,2021,2022,2023,2024,2025
0,AL & FL,186345,379469,340122,380019,279981
1,AR,574938,647792,744912,901390,773661
2,AZ & NM,56990,60579,45762,46759,29494
3,CA,109263,116981,56228,80406,85004
4,GA,579140,1042734,654674,616104,560478
5,KS & OK,199922,106594,126620,146635,140556
6,LA,189382,350346,226427,308742,200826
7,MO,128409,187958,185686,229913,153136
8,MS,497958,823211,721678,836430,556845
9,NC & VA,391046,521857,359113,353490,312600
10,SC,111117,144783,91499,110476,55667
11,TN,488483,621773,720856,847278,540820
12,TX,3033526,1678016,1632460,2219497,2250856
