,Region,2021,2022,2023,2024,2025
0,AL & FL,689346,866139,747691,716786,607982
1,AR,1220842,1410339,1202146,1656663,1319173
2,AZ & NM,383005,378931,292115,330457,268709
3,CA,276472,322925,203807,285359,304367
4,GA,2783502,3324195,2502742,2451463,2304907
5,KS & OK,815501,442257,390548,498059,732002
6,LA,255930,414079,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1085593,1259559,949282,1194151,884960
9,NC & VA,1000473,1292429,1017017,1128829,958567
10,SC,398745,439935,321161,330753,288989
11,TN,1145322,1462164,1422740,1620553,956123
12,TX,8325230,3499162,3164614,4922123,6186763
