,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,254030,254030,78598,24728,251203,7784,315,1108,260410
1,AR,724616,724532,474929,57108,724000,60108,205,1520,785833
2,AZ & NM,25188,25188,13899,26320,25188,58373,2576,1775,87912
3,CA,77000,77000,51742,7980,76998,56019,3029,3365,139411
4,GA,495183,492422,107483,61802,489047,76426,5881,2822,574176
5,KS & OK,125050,125050,31972,3141,124083,3940,476,833,129332
6,LA,193835,193835,134832,17722,192068,2249,114,1270,195701
7,MO,140726,140726,90768,12089,140638,11827,47,208,152720
8,MS,526406,525790,417346,33211,524198,35519,1354,3087,564158
9,NC & VA,277734,277648,94145,49211,274308,67242,3185,2418,347153
10,SC,47045,46777,23401,13887,46994,15466,254,526,63240
11,TN,507359,502623,321392,85992,501662,108120,1577,1830,613189
12,TX,2081269,2010952,539479,263696,1701394,268710,18854,38735,2027693
13,--TOTAL,5475441,5396573,2379986,656887,5071781,771783,37867,59497,5940928
