,Region,2021,2022,2023,2024,2025
0,AL & FL,680709,863513,743114,714559,607545
1,AR,1210694,1387230,1182493,1639965,1312569
2,AZ & NM,377556,373583,285189,327968,263056
3,CA,275027,322003,203807,284835,300060
4,GA,2718755,3276805,2458069,2365526,2218594
5,KS & OK,802424,432104,390544,492820,692466
6,LA,255930,413815,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1058744,1257817,941715,1180144,866662
9,NC & VA,981159,1274275,976637,1096419,930052
10,SC,397329,439319,317329,326930,285490
11,TN,1141223,1432775,1404850,1573756,934873
12,TX,8198967,3460330,3112156,4786833,6074128
