,Region,2021,2022,2023,2024,2025
0,AL & FL,654424,822400,738133,690992,589369
1,AR,1158241,1266508,1138511,1572366,1251917
2,AZ & NM,286943,264249,241532,238682,191559
3,CA,268473,295047,198703,265446,254964
4,GA,2383016,2934833,2210238,2044473,1885999
5,KS & OK,668734,404429,375861,451643,553545
6,LA,255796,398522,244549,379202,264266
7,MO,313629,394509,375905,384789,320299
8,MS,974029,1249466,930334,1148003,774525
9,NC & VA,945683,1201260,933238,997942,851110
10,SC,360676,414486,302131,309208,270688
11,TN,1078645,1320616,1282602,1445420,833893
12,TX,7237721,3253658,3024756,4313777,5294359
