,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,418597,418597,130246,40789,405391,6458,315,1108,413272
1,AR,1013791,1013105,827873,47280,1000821,36019,205,1520,1038565
2,AZ & NM,58448,58448,28911,15972,58448,46194,2475,1750,108867
3,CA,128352,128352,89903,5565,128178,48527,3029,3365,183099
4,GA,932728,924435,210035,97216,916618,59395,5438,2815,984266
5,KS & OK,237773,237773,49573,7355,233433,2797,469,654,237353
6,LA,240911,240911,174335,19877,227984,1809,114,1270,231177
7,MO,214955,214955,164351,11164,213460,8171,37,199,221867
8,MS,652732,649725,565831,34239,635996,21117,386,3029,660528
9,NC & VA,513104,513018,189194,45955,500428,47300,3112,2413,553253
10,SC,110687,110419,61881,7782,110254,8326,247,526,119353
11,TN,684660,675515,551015,60224,668516,65728,1477,1811,737532
12,TX,3076912,2977249,777438,302129,2538098,236761,18779,38693,2832331
13,--TOTAL,8283650,8162502,3820586,695547,7637625,588602,36083,59153,8321463
