,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,404141,404141,131159,34521,391023,6458,315,1108,398904
1,AR,993129,992705,810947,41374,980159,36019,205,1520,1017903
2,AZ & NM,57815,57815,28911,15972,57815,46194,2475,1750,108234
3,CA,123048,123048,89159,7466,122874,50428,3029,3365,179696
4,GA,878245,870302,203741,93182,862309,59485,5616,2815,930225
5,KS & OK,223568,223568,48801,7704,219667,2797,469,654,223587
6,LA,238688,238688,175216,17155,225761,1809,114,1270,228954
7,MO,208484,208484,163579,9000,206989,8171,37,199,215396
8,MS,649568,646825,577614,19864,632832,21117,386,3029,657364
9,NC & VA,493881,493795,186643,45686,481738,47373,3112,2413,534636
10,SC,103346,103078,60517,7695,102913,8326,247,526,112012
11,TN,674774,665629,542045,55090,658630,66896,1477,1811,728814
12,TX,2960017,2860354,764350,277322,2421636,236761,18791,38693,2715881
13,--TOTAL,8008704,7888432,3782682,632031,7364346,591834,36273,59153,8051606
