,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,618682,599839,9833,111344,223709,1580,307,1066,226662
1,AR,1334892,1240091,135341,316707,741950,5329,162,1501,748942
2,AZ & NM,276273,271867,107586,55003,197032,7667,1641,1666,208006
3,CA,304939,304939,137296,19268,190671,25437,2798,2007,220913
4,GA,2457529,1798901,30621,497211,791191,24754,4882,2658,823485
5,KS & OK,788387,736603,63686,185466,372925,659,127,339,374050
6,LA,264630,264278,5774,37326,74452,286,112,1240,76090
7,MO,320299,320299,51012,66121,166841,552,37,135,167565
8,MS,938576,699823,54887,158890,457118,2707,364,2004,462193
9,NC & VA,1043603,835179,23728,156071,439198,8523,2602,1993,452316
10,SC,292213,274018,2458,79215,155251,1347,166,489,157253
11,TN,994188,850535,209637,210786,644158,10558,1605,1732,658053
12,TX,6557452,5205848,467466,963781,2674315,93601,17297,31876,2817089
13,--TOTAL,16191663,13402220,1299325,2857189,7128811,183000,32100,48706,7392617
