,Region,2021,2022,2023,2024,2025
0,AL & FL,729297,890384,777548,720843,626436
1,AR,1266231,1492763,1267096,1732638,1349099
2,AZ & NM,390822,394725,301914,338987,277851
3,CA,276933,323517,204697,285457,304939
4,GA,3162337,3590359,2742221,2852415,2602745
5,KS & OK,830659,494803,406675,541150,832794
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1185497,1362465,1078610,1394383,1029591
9,NC & VA,1098916,1378660,1136386,1251910,1082354
10,SC,432192,458868,337992,361431,294777
11,TN,1191453,1546433,1596227,1783006,1077139
12,TX,8875053,3728665,3572740,5486557,7218924
