,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,330071,330071,106331,30203,321594,7169,315,1108,330186
1,AR,865059,864975,643608,45049,859863,46702,205,1520,908290
2,AZ & NM,41662,41662,20437,17065,41662,51404,2576,1758,97400
3,CA,99170,99170,69431,5534,98996,52513,3029,3365,157903
4,GA,674305,670645,154095,81292,664190,69526,5877,2822,742415
5,KS & OK,172895,172895,38419,4702,170514,3830,476,833,175653
6,LA,217280,217280,159681,16208,209422,1897,114,1270,212703
7,MO,176211,176211,127013,11098,176035,10222,37,200,186494
8,MS,599720,598654,501406,25442,590823,26221,386,3029,620459
9,NC & VA,380448,380362,137977,45306,370885,56688,3185,2413,433171
10,SC,70683,70415,38726,11889,70299,12806,254,526,83885
11,TN,607602,601139,438441,70430,598342,86407,1577,1830,688156
12,TX,2506258,2424068,633782,263262,2051398,244163,18798,38693,2353052
13,--TOTAL,6741364,6647547,3069347,627480,6224023,669548,36829,59367,6989767
