,State,Total Issued 2024,Total New Issued 2024,Held by CCC 2024,Under Shipping Order,Open 2024,Open 2023,Open 2022,Open 2021 and earlier,Total Open
0,AL & FL,720219,705962,36396,90496,189758,814,626,682,191880
1,AR,1714346,1582512,353589,247690,688266,1551,1073,781,691671
2,AZ & NM,335274,331055,130447,19697,192644,4624,2598,501,200367
3,CA,285457,285457,115165,4911,148931,4244,2751,1212,157138
4,GA,2709158,1949408,83079,455986,747935,10518,1393,1838,761684
5,KS & OK,537031,425132,12519,89775,175813,769,833,440,177855
6,LA,379254,379254,39401,20623,76000,387,858,549,77794
7,MO,388113,388113,80786,47667,139122,69,247,250,139688
8,MS,1296188,1104908,257427,222255,569500,7871,2541,905,580817
9,NC & VA,1210129,1002428,91425,165942,555236,6591,2125,1047,564999
10,SC,344233,321234,36548,63217,134115,593,199,370,135277
11,TN,1705863,1410498,394364,262960,848273,3887,868,2632,855660
12,TX,5265039,4023854,305609,393471,1309111,26904,20329,21741,1378085
13,--TOTAL,16890304,13909815,1936755,2084690,5774704,68822,36441,32948,5912915
