,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,607719,599816,70207,138779,349791,2129,307,1066,353293
1,AR,1315892,1240091,647467,227435,948457,8198,162,1501,958318
2,AZ & NM,265156,265156,119759,63259,229134,17693,1642,1667,250136
3,CA,304014,304014,188825,8082,233841,27297,2926,3335,267399
4,GA,2255468,1798009,222736,715253,1304649,29334,4964,2750,1341697
5,KS & OK,704818,687509,87160,148517,443983,936,139,505,445563
6,LA,264630,264278,79113,30533,122160,362,112,1253,123887
7,MO,320299,320299,118226,79648,228860,844,37,198,229939
8,MS,876046,699796,393005,103547,521913,3616,369,2746,528644
9,NC & VA,938372,832349,119861,211644,553851,12243,2677,2017,570788
10,SC,286901,274018,119315,45505,205597,1545,166,489,207797
11,TN,944361,850489,557231,132100,727901,15967,1405,1822,747095
12,TX,6124811,5184754,1155381,701480,3519226,121551,17842,32051,3690670
13,--TOTAL,15208487,13320578,3878286,2605782,9389363,241715,32748,51400,9715226
