,Region,2021,2022,2023,2024,2025
0,AL & FL,578955,741189,677353,648387,558438
1,AR,1093926,1148132,1092406,1400297,1208602
2,AZ & NM,214682,189039,173886,160872,131079
3,CA,240256,263824,178523,217225,207692
4,GA,1896030,2486694,1819750,1663302,1569526
5,KS & OK,516246,312899,327301,367071,408536
6,LA,255553,398056,244297,377552,264229
7,MO,271426,346622,347587,358847,293611
8,MS,922359,1233866,926225,1128832,721490
9,NC & VA,889186,1102338,864948,905098,780532
10,SC,294114,327591,256592,268085,223413
11,TN,1008819,1203842,1204285,1370558,780977
12,TX,6113941,2939236,2851187,3839264,4382875
