,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,631851,599839,7633,36982,99623,827,304,1060,101814
1,AR,1349189,1240091,76130,175163,343572,3264,133,754,347723
2,AZ & NM,278461,271867,91706,12830,125888,6678,1611,1194,135371
3,CA,304939,304939,67843,10183,99349,18990,1984,1062,121385
4,GA,2626047,1798901,23749,160778,301347,14968,1652,2631,320598
5,KS & OK,835603,760012,26535,66887,147343,291,60,231,147925
6,LA,264630,264278,4267,16613,27201,274,105,542,28122
7,MO,320299,320299,39301,32622,89208,430,15,129,89782
8,MS,1049588,699823,27466,154461,273123,1613,377,1001,276114
9,NC & VA,1085717,836142,22018,83224,253797,5588,2481,1874,263740
10,SC,294777,275088,3286,29873,64082,396,164,445,65087
11,TN,1113814,850589,182608,134175,408882,8535,515,757,418689
12,TX,7375285,5208121,186941,460854,1482214,56710,15676,29969,1584569
13,--TOTAL,17530200,13429989,759483,1374645,3715629,118564,25077,41649,3900919
