,Region,2021,2022,2023,2024,2025
0,AL & FL,682942,864616,745143,716434,607806
1,AR,1215225,1396393,1191025,1650252,1316332
2,AZ & NM,380849,375052,290247,328853,266556
3,CA,276382,322925,203807,284928,304091
4,GA,2752926,3307063,2480194,2407348,2262473
5,KS & OK,811736,435965,390546,496384,708099
6,LA,255930,413991,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1072691,1258503,943680,1187162,877375
9,NC & VA,988369,1283619,998152,1112939,943869
10,SC,398047,439407,320282,328635,286989
11,TN,1142291,1451692,1413006,1593187,946955
12,TX,8267305,3477957,3148089,4855702,6141404
