,Region,2021,2022,2023,2024,2025
0,AL & FL,3502,57695,36254.0,63772,46774
1,AR,51701,131074,184786.0,287077,170239
2,AZ & NM,10753,16905,10332.0,16713,7240
3,CA,6614,3633,,1000,2433
4,GA,19849,105991,32929.0,26727,79719
5,KS & OK,11722,4677,803.0,5945,8674
6,LA,23634,134106,108804.0,117508,75418
7,MO,4786,33992,29159.0,52016,15144
8,MS,24103,212434,150170.0,273131,119536
9,NC & VA,20484,32883,5196.0,3702,8269
10,SC,2720,14884,1614.0,4130,1213
11,TN,20654,92690,111768.0,199048,80051
12,TX,1040352,1148878,1009024.0,1157194,1031069
