,Region,2021,2022,2023,2024,2025
0,AL & FL,308135,487357,446476,484388,404141
1,AR,772213,807712,866462,1092183,993129
2,AZ & NM,94452,86016,69630,68690,57815
3,CA,155621,157910,95195,129116,123048
4,GA,903916,1399338,952594,925305,877163
5,KS & OK,290168,166149,182197,207229,220298
6,LA,225605,370473,237050,345904,238688
7,MO,166094,233098,227529,285245,208003
8,MS,676220,976030,823304,982514,649568
9,NC & VA,554809,695697,515933,543073,488946
10,SC,161525,187651,131957,162304,103103
11,TN,693669,786452,901857,1071134,674023
12,TX,3950526,2029847,2030830,2644879,2933382
