,Region,2021,2022,2023,2024,2025
0,AL & FL,672383,851726,742290,701930,605196
1,AR,1190824,1344966,1152522,1620054,1279653
2,AZ & NM,349891,339560,276491,302582,237078
3,CA,273397,318967,202510,279000,283045
4,GA,2626966,3153510,2380307,2241594,2077830
5,KS & OK,762736,423855,389549,472206,648396
6,LA,255924,411615,244549,379254,264542
7,MO,315831,398195,382134,388113,320299
8,MS,1027000,1254764,932273,1160201,817092
9,NC & VA,967821,1245928,949364,1028683,894148
10,SC,396301,437184,315342,322798,278777
11,TN,1121121,1378419,1354720,1501133,872689
12,TX,7937889,3397110,3076919,4572209,5788178
