,Region,2021,2022,2023,2024,2025
0,AL & FL,694326,869422,758084,717226,610369
1,AR,1230231,1426249,1214941,1673086,1320133
2,AZ & NM,387832,383128,294800,331570,271106
3,CA,276743,323477,203807,285393,304939
4,GA,2841863,3357578,2531935,2506180,2360107
5,KS & OK,828140,454774,390598,504306,750858
6,LA,255930,414167,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1098300,1262474,967890,1203866,895472
9,NC & VA,1023571,1307692,1039844,1143721,983396
10,SC,401991,440101,322388,333277,290570
11,TN,1148677,1474944,1434660,1642393,970363
12,TX,8408382,3518905,3197044,4987260,6254609
