,State,Total Issued 2026,Total New Issued 2026,Held by CCC 2026,Under Shipping Order,Open 2026,Open 2025,Open 2024,Open 2023 and earlier,Total Open
0,AL & FL,0,0,0,26436,0,65119,824,1079,67022
1,AR,0,0,0,121419,0,246973,2071,850,249894
2,AZ & NM,0,0,0,3410,0,101342,5329,2430,109101
3,CA,0,0,0,19140,0,72493,17467,2747,92707
4,GA,0,0,0,102637,0,191819,11360,3770,206949
5,KS & OK,0,0,0,7522,0,34786,136,247,35169
6,LA,0,0,0,9328,0,14495,274,647,15416
7,MO,0,0,0,20506,0,60876,430,144,61450
8,MS,0,0,0,115009,0,184510,1286,1337,187133
9,NC & VA,0,0,0,71986,0,183367,3874,3528,190769
10,SC,0,0,0,16285,0,38453,317,609,39379
11,TN,0,0,0,84645,0,294123,5255,953,300331
12,TX,8245,8245,0,202269,8245,962808,36686,41945,1049684
13,--TOTAL,8245,8245,0,800592,8245,2451164,85309,60286,2605004
