,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,607982,599816,69487,123107,313076,1934,307,1066,316383
1,AR,1319261,1240091,645402,193796,892136,7796,162,1501,901595
2,AZ & NM,269906,269906,120805,66067,221762,16522,1642,1666,241592
3,CA,304367,304367,184781,6344,223370,26274,2926,3335,255905
4,GA,2324259,1798153,226120,617882,1179493,28640,4942,2719,1215794
5,KS & OK,739571,701406,105638,152643,433133,910,139,505,434687
6,LA,264630,264278,77026,26034,115232,362,112,1242,116948
7,MO,320299,320299,116268,69450,214254,844,37,198,215333
8,MS,888578,699796,396080,83709,504686,3437,368,2741,511232
9,NC & VA,962639,833938,125119,177781,512715,11352,2622,1995,528684
10,SC,289773,274018,115627,39083,193543,1450,166,489,195648
11,TN,959587,850535,562974,114908,710554,13896,1405,1735,727590
12,TX,6208065,5195870,1141855,786275,3287592,110713,17576,31949,3447830
13,--TOTAL,15458917,13352473,3887182,2457079,8801546,224130,32404,51141,9109221
