,Region,2021,2022,2023,2024,2025
0,AL & FL,651073,813052,737303,689691,589289
1,AR,1156041,1256305,1138159,1565999,1251917
2,AZ & NM,280353,258330,236510,236522,191559
3,CA,268473,292050,198656,264671,254964
4,GA,2357460,2915903,2195743,2029847,1884305
5,KS & OK,659967,400364,375361,448176,550572
6,LA,255754,398513,244549,379202,264266
7,MO,312133,393615,375905,384406,320299
8,MS,973327,1248730,930334,1147462,774525
9,NC & VA,944069,1198753,932470,996526,851046
10,SC,358360,411054,299908,308252,268834
11,TN,1078165,1310837,1281397,1441635,833893
12,TX,7168535,3238773,3018766,4296440,5285245
