,Region,2021,2022,2023,2024,2025
0,AL & FL,1005,33662,20746.0,39437,28365
1,AR,17754,96443,130235.0,209087,109951
2,AZ & NM,7897,14656,8794.0,15887,4970
3,CA,2303,1433,,900,1172
4,GA,7237,59293,19354.0,13049,52888
5,KS & OK,2540,2247,679.0,2578,1913
6,LA,14655,109739,94029.0,93334,55711
7,MO,611,20974,12970.0,33123,5044
8,MS,6510,152659,105997.0,196586,63947
9,NC & VA,8308,14313,1535.0,1344,1313
10,SC,1688,7820,939.0,1934,1178
11,TN,4800,55802,68053.0,130660,35255
12,TX,916923,1094037,982900.0,1089090,944249
