,Region,2021,2022,2023,2024,2025
0,AL & FL,663964,835039,740584,692905,597067
1,AR,1170034,1302359,1139190,1602525,1259619
2,AZ & NM,314243,289169,259758,262589,212294
3,CA,271144,306067,200159,271375,262141
4,GA,2497811,3040560,2280183,2102805,1952764
5,KS & OK,717166,416159,380351,461267,589998
6,LA,255832,399753,244549,379220,264454
7,MO,315536,397780,379802,384789,320299
8,MS,999067,1251656,930510,1152235,792654
9,NC & VA,952935,1219654,941991,1005008,863088
10,SC,379480,431145,311054,315570,277084
11,TN,1095787,1344347,1301653,1457027,850092
12,TX,7554146,3316520,3046247,4405009,5478969
