,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,631851,599839,8244,38922,105256,827,304,1060,107447
1,AR,1349189,1240091,78090,192577,372681,3375,134,1106,377296
2,AZ & NM,278200,271867,95664,11809,128466,7014,1619,1194,138293
3,CA,304939,304939,70708,13117,104003,19002,1984,1062,126051
4,GA,2621077,1798901,27198,165783,315044,15584,1652,2631,334911
5,KS & OK,835515,760012,26535,91643,182212,296,60,232,182800
6,LA,264630,264278,4267,17467,28143,274,105,542,29064
7,MO,320299,320299,39719,34457,92622,430,15,129,93196
8,MS,1047407,699823,28239,172008,292903,1613,377,1089,295982
9,NC & VA,1084488,836142,22451,87216,262706,5589,2481,1874,272650
10,SC,294777,275088,3323,31757,67665,416,164,445,68690
11,TN,1107356,850589,190177,138002,423051,8798,516,761,433126
12,TX,7349776,5208121,205077,476842,1558411,58418,15684,29972,1662485
13,--TOTAL,17489504,13429989,799692,1471600,3933163,121636,25095,42097,4121991
