,Region,2021,2022,2023,2024,2025
0,AL & FL,708308,877931,764856,718634,617002
1,AR,1236607,1441963,1231502,1690743,1329957
2,AZ & NM,388745,387988,296544,332876,274166
3,CA,276752,323516,204197,285457,304939
4,GA,2925371,3397890,2581585,2594606,2419291
5,KS & OK,829914,467410,392874,515565,773126
6,LA,255946,414424,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1125159,1266594,1005881,1236693,918836
9,NC & VA,1060362,1331993,1077513,1174139,1021637
10,SC,407317,440886,324574,338302,291779
11,TN,1149143,1488875,1463208,1674992,985287
12,TX,8521203,3552438,3309117,5106834,6410001
