,Region,2021,2022,2023,2024,2025
0,AL & FL,700182,874684,758084,717226,612426
1,AR,1232313,1430712,1221780,1680759,1322146
2,AZ & NM,388364,387210,295460,332072,272005
3,CA,276743,323515,203899,285393,304939
4,GA,2871829,3373861,2551132,2537497,2381207
5,KS & OK,828790,461177,390598,507384,760422
6,LA,255930,414424,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1106448,1263527,980149,1211723,905060
9,NC & VA,1033935,1319734,1055846,1156396,996597
10,SC,405223,440534,322388,334567,291082
11,TN,1148838,1479928,1443285,1654686,976438
12,TX,8443548,3534993,3234513,5033669,6307316
