,Region,2021,2022,2023,2024,2025
0,AL & FL,671365,850471,742178,700627,604044
1,AR,1187097,1333044,1147364,1618733,1275072
2,AZ & NM,338288,326233,271725,299185,236008
3,CA,271329,315764,202291,278588,282776
4,GA,2606585,3131657,2358202,2220294,2066279
5,KS & OK,750083,422364,388086,471604,641321
6,LA,255924,409162,244549,379254,264454
7,MO,315831,398195,382134,388113,320299
8,MS,1021578,1253472,931746,1159644,813431
9,NC & VA,965012,1239415,948026,1025434,890189
10,SC,395644,435028,315060,322168,278777
11,TN,1111853,1366870,1340957,1498587,870059
12,TX,7851803,3383084,3069997,4549967,5753845
