,State,Total Issued 2024,Total New Issued 2024,Held by CCC 2024,Under Shipping Order,Open 2024,Open 2023,Open 2022,Open 2021 and earlier,Total Open
0,AL & FL,720843,706146,5530,25019,60745,669,502,666,62582
1,AR,1740706,1582512,133292,76827,300097,454,955,753,302259
2,AZ & NM,339115,331915,106175,6868,139761,3950,2546,493,146750
3,CA,285457,285457,75746,5824,101143,3954,2529,1179,108805
4,GA,2904408,1949409,34578,106546,279356,8498,1227,1812,290893
5,KS & OK,541150,425132,2626,2393,18841,572,829,440,20682
6,LA,379254,379254,9537,7202,20926,295,825,549,22595
7,MO,388113,388113,45900,7574,62559,67,159,250,63035
8,MS,1436294,1104908,66759,129149,331729,1389,2314,904,336336
9,NC & VA,1277733,1002859,44319,102842,326618,3842,1722,1048,333230
10,SC,363603,321249,16510,25916,68252,354,194,333,69133
11,TN,1858090,1410500,189037,111040,444082,2210,648,2508,449448
12,TX,5623553,4025555,204901,149378,764982,20812,19449,21496,826739
13,--TOTAL,17858319,13913009,934910,756578,2919091,47066,33899,32431,3032487
