,Region,2021,2022,2023,2024,2025
0,AL & FL,88035,245057,209163,246084,182438
1,AR,379787,456035,540246,695534,559384
2,AZ & NM,28060,33422,25622,28227,14817
3,CA,64999,56577,21679,39385,48868
4,GA,272705,631585,322059,308470,322010
5,KS & OK,116658,57034,61472,82489,81654
6,LA,128311,294812,203519,249628,159929
7,MO,78240,130398,126780,162978,103792
8,MS,312018,610976,520357,637774,415109
9,NC & VA,224887,329710,171305,160210,163653
10,SC,60860,92982,42626,62538,29106
11,TN,294522,430021,499977,583657,380636
12,TX,2147934,1422841,1272488,1793601,1662632
