,Region,2021,2022,2023,2024,2025
0,AL & FL,239160,424996,384151,420720,330071
1,AR,660967,712130,794701,976502,865059
2,AZ & NM,70489,72731,54657,53396,41662
3,CA,131140,133984,72091,98647,99170
4,GA,720685,1186562,763409,719510,674305
5,KS & OK,233624,130781,143719,167244,172895
6,LA,210491,358046,229367,325937,217280
7,MO,145753,205104,202837,249518,176211
8,MS,575951,896116,762806,889650,599720
9,NC & VA,459381,590650,416012,424674,380448
10,SC,136408,161709,109163,126934,70683
11,TN,568589,688606,782436,919493,607602
12,TX,3398505,1798918,1764520,2377529,2506258
