,Region,2021,2022,2023,2024,2025
0,AL & FL,538743,698351,653912,622394,539021
1,AR,1057948,1107829,1074056,1358018,1189147
2,AZ & NM,186849,166028,153457,148490,115801
3,CA,225827,248709,168174,205361,195566
4,GA,1709328,2277215,1691910,1539035,1448017
5,KS & OK,475108,293853,309900,347458,375115
6,LA,254493,396839,244245,375651,264029
7,MO,253548,328160,336633,351001,276849
8,MS,905790,1215839,922625,1117180,712153
9,NC & VA,851717,1047565,821392,859232,751622
10,SC,268930,295191,238995,255719,202802
11,TN,979563,1143525,1183172,1336068,768188
12,TX,5717687,2794555,2763569,3649986,4118646
