,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,472667,472403,158157,53253,448189,5590,315,1108,455202
1,AR,1105356,1102585,909854,56865,1081213,26414,172,1520,1109319
2,AZ & NM,76387,76387,37740,17397,76387,42401,2429,1717,122934
3,CA,158441,158441,118160,5997,158003,46330,3029,3365,210727
4,GA,1137701,1121416,252509,142314,1102341,55026,5434,2864,1165665
5,KS & OK,287517,287517,40566,13355,279405,2489,469,654,283017
6,LA,253479,253479,180257,29697,234124,1691,114,1270,237199
7,MO,238314,238314,176541,22044,233512,6776,37,199,240524
8,MS,671791,667728,548660,50816,640989,18186,386,3028,662589
9,NC & VA,616573,615788,218161,63156,595896,37325,3102,2413,638736
10,SC,146282,146014,76057,13485,144776,6179,229,524,151708
11,TN,725864,713625,587561,60835,704702,49320,1442,1810,757274
12,TX,3467313,3350182,924640,323550,2839679,213277,18776,38687,3110419
13,--TOTAL,9357685,9203879,4228863,852764,8539216,511004,35934,59159,9145313
