,Region,2021,2022,2023,2024,2025
0,AL & FL,477819,638289,599925,595259,501136
1,AR,997316,1024138,1038568,1286430,1150823
2,AZ & NM,158567,138612,126595,122614,91693
3,CA,202783,217646,148785,183702,170166
4,GA,1447933,2007100,1473137,1326919,1272478
5,KS & OK,416849,254564,270520,299323,325462
6,LA,251240,393112,243921,369377,260183
7,MO,224031,296372,306568,327611,258647
8,MS,870416,1166231,904742,1095458,691839
9,NC & VA,779982,940804,755448,767917,683636
10,SC,239024,264205,205915,228584,169841
11,TN,929085,1045055,1126611,1273453,749079
12,TX,5164605,2583702,2598195,3324801,3731492
