,Region,2021,2022,2023,2024,2025
0,AL & FL,642720,796885,727404,684978,581676
1,AR,1147043,1235980,1136158,1539133,1241415
2,AZ & NM,259611,242640,220730,214574,170235
3,CA,265863,288242,196924,255655,245366
4,GA,2263877,2819994,2121694,1952160,1804663
5,KS & OK,623370,380254,368947,434219,509482
6,LA,255721,398513,244549,379169,264248
7,MO,301208,390175,370065,378706,314403
8,MS,956360,1244065,930302,1144871,758331
9,NC & VA,937070,1185644,925631,982617,826995
10,SC,337897,388224,288632,300424,256614
11,TN,1066838,1290518,1269372,1426317,821425
12,TX,6893308,3177520,2986059,4206883,5019567
