,Region,2021,2022,2023,2024,2025
0,AL & FL,616025,770319,709084,677846,572807
1,AR,1131605,1194699,1127851,1491724,1220693
2,AZ & NM,235236,216078,195323,195457,151082
3,CA,258255,276214,191876,240604,231938
4,GA,2108353,2668803,2001717,1829057,1696888
5,KS & OK,574513,347571,357509,409576,465993
6,LA,255605,398317,244520,377589,264248
7,MO,293639,369229,363602,368367,306303
8,MS,934120,1237906,930015,1136418,741461
9,NC & VA,916800,1155294,901746,954380,800675
10,SC,317949,362370,274479,288086,242537
11,TN,1039746,1240808,1245123,1407578,806526
12,TX,6537478,3089067,2933798,4066088,4712751
