,Region,2021,2022,2023,2024,2025
0,AL & FL,726396,887659,774123,720219,625908
1,AR,1258065,1468867,1261736,1718928,1338556
2,AZ & NM,390213,393245,300131,336017,276273
3,CA,276920,323517,204697,285457,304939
4,GA,3074479,3479005,2649390,2732148,2528361
5,KS & OK,830563,478128,405290,538902,819350
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1171478,1304986,1036405,1312320,988660
9,NC & VA,1078494,1358972,1120853,1215589,1070207
10,SC,420459,450981,334358,346498,293595
11,TN,1174700,1527542,1542408,1710574,1014823
12,TX,8694013,3624725,3445038,5306888,6812319
