,Region,2021,2022,2023,2024,2025
0,AL & FL,678508,860526,743114,712449,606750
1,AR,1205958,1372081,1162685,1634349,1307245
2,AZ & NM,372827,364797,279292,323698,256915
3,CA,274361,320726,203266,284406,295447
4,GA,2681456,3236055,2430088,2339658,2166242
5,KS & OK,793992,426598,389846,483603,680083
6,LA,255930,413551,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1046046,1256232,938523,1168425,845786
9,NC & VA,977012,1264885,959537,1078235,917239
10,SC,396999,439236,315694,324952,283394
11,TN,1135700,1410079,1383137,1549195,919563
12,TX,8124625,3439159,3095335,4719399,5975679
