,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,607632,599816,70379,146711,359743,2217,307,1066,363333
1,AR,1314663,1240091,646933,240815,961567,8198,162,1501,971428
2,AZ & NM,264656,264656,119527,64802,230606,19452,1643,1667,253368
3,CA,302853,302853,189523,11506,234450,29553,2926,3335,270264
4,GA,2242253,1798009,221314,728881,1332231,29360,4964,2750,1369305
5,KS & OK,699211,684894,83728,146431,446952,945,139,505,448541
6,LA,264630,264278,79203,32390,124193,362,112,1253,125920
7,MO,320299,320299,120285,80268,232156,844,37,198,233235
8,MS,871605,699796,391128,110757,526836,3616,369,2746,533567
9,NC & VA,934058,831821,121166,209607,570218,12438,2677,2017,587350
10,SC,286549,274018,119583,46980,211150,1545,166,489,213350
11,TN,938270,850489,574539,116934,730174,16495,1405,1822,749896
12,TX,6104773,5182429,1165053,718222,3581953,123053,17842,32051,3754899
13,--TOTAL,15151452,13313449,3902361,2654304,9542229,248078,32749,51400,9874456
