,Region,2021,2022,2023,2024,2025
0,AL & FL,661503,830497,739900,692647,597067
1,AR,1165177,1291075,1138687,1599433,1259619
2,AZ & NM,304079,282901,255202,257348,212294
3,CA,271019,301090,199847,270971,262141
4,GA,2463043,3011299,2252775,2088934,1952336
5,KS & OK,702654,414268,378368,459337,589998
6,LA,255825,398698,244549,379220,264454
7,MO,315349,395409,377205,384789,320299
8,MS,992041,1250736,930334,1150259,792654
9,NC & VA,951042,1213617,939117,1003572,863088
10,SC,370451,428643,308747,314835,277084
11,TN,1091670,1339272,1295449,1454639,850092
12,TX,7455436,3299641,3041474,4385507,5472823
