,State,Total Issued 2024,Total New Issued 2024,Held by CCC 2024,Under Shipping Order,Open 2024,Open 2023,Open 2022,Open 2021 and earlier,Total Open
0,AL & FL,717226,705962,73586,138488,293562,1142,626,717,296047
1,AR,1684405,1582512,545324,258006,877317,1790,1084,832,881023
2,AZ & NM,332191,328057,139255,38307,221616,4771,2727,553,229667
3,CA,285393,285393,135873,10931,168236,4692,2784,1225,176937
4,GA,2548001,1949318,166198,573081,1088067,11408,1477,2070,1103022
5,KS & OK,507916,425132,20113,101319,241934,792,833,446,244005
6,LA,379254,379254,59224,32635,110800,586,906,551,112843
7,MO,388113,388113,125471,47474,183187,69,247,250,183753
8,MS,1215063,1104889,386781,146185,637354,7780,2547,905,648586
9,NC & VA,1158805,996627,182442,152316,659601,7277,2358,1047,670283
10,SC,334828,320402,50675,72774,175560,685,199,370,176814
11,TN,1655473,1410498,706072,200099,1020155,4039,880,2629,1027703
12,TX,5042187,4023562,372560,584239,1705092,31897,21319,21750,1780058
13,--TOTAL,16248855,13899719,2963574,2355854,7382481,76928,37987,33345,7530741
