,Region,2021,2022,2023,2024,2025
0,AL & FL,381558,560030,514049,525953,443505
1,AR,883476,909554,950868,1168239,1059148
2,AZ & NM,118484,115833,94514,88611,69197
3,CA,173308,185101,118405,144151,138539
4,GA,1116044,1677237,1174600,1052118,1012196
5,KS & OK,343159,206563,221867,236501,259675
6,LA,241804,386718,243484,352830,249345
7,MO,191151,263030,264186,299777,224270
8,MS,786188,1078828,870896,1026069,664721
9,NC & VA,652423,802558,632460,618512,558368
10,SC,192429,222894,168705,178555,123482
11,TN,801704,921226,1010671,1148559,703213
12,TX,4469443,2268781,2273495,2883668,3241220
