,Region,2021,2022,2023,2024,2025
0,AL & FL,394223,564139,518821,537385,450942
1,AR,901106,919974,955161,1188585,1074320
2,AZ & NM,122569,118459,94514,91139,70881
3,CA,176231,190034,122769,149878,143701
4,GA,1156026,1695075,1191377,1087217,1048369
5,KS & OK,350846,209865,224969,243208,265336
6,LA,242969,386718,243484,355574,250267
7,MO,193856,265298,268468,302493,228436
8,MS,800066,1080455,870896,1038722,666999
9,NC & VA,671233,812445,640195,641710,575258
10,SC,199191,228245,170544,184682,126817
11,TN,821715,928190,1021798,1163306,709601
12,TX,4552432,2279593,2307750,2940010,3302201
