,Region,2021,2022,2023,2024,2025
0,AL & FL,728245,890208,777548,720579,626436
1,AR,1264394,1476825,1266930,1731586,1342495
2,AZ & NM,390229,394725,301378,336203,276543
3,CA,276933,323517,204697,285457,304939
4,GA,3130872,3551697,2720299,2807626,2580098
5,KS & OK,830571,488653,406414,540974,827645
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1183177,1333463,1046806,1369009,1015011
9,NC & VA,1090246,1376022,1131802,1241676,1075859
10,SC,427809,455866,337561,358028,294688
11,TN,1184833,1533703,1580436,1740007,1051447
12,TX,8818577,3687968,3519142,5435446,7038571
