,Region,2021,2022,2023,2024,2025
0,AL & FL,680709,863776,743114,714559,607545
1,AR,1212709,1391721,1184950,1639965,1313702
2,AZ & NM,378216,374234,287449,327968,263256
3,CA,275027,322003,203807,284835,301225
4,GA,2726842,3292288,2463551,2379306,2231985
5,KS & OK,805741,434031,390544,492820,693300
6,LA,255930,413903,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1064167,1258151,941894,1180144,869270
9,NC & VA,984001,1279588,979736,1096419,932362
10,SC,397594,439319,317943,326930,286023
11,TN,1141674,1441449,1407072,1576271,936303
12,TX,8224742,3466800,3115180,4786833,6091396
