,Region,2021,2022,2023,2024,2025
0,AL & FL,633301,785142,718995,681847,578885
1,AR,1144268,1216503,1135472,1521983,1233923
2,AZ & NM,250580,229379,206443,206805,159541
3,CA,265014,284210,194803,249473,239301
4,GA,2221078,2761666,2059951,1889317,1767625
5,KS & OK,604617,362604,364444,418858,492396
6,LA,255700,398350,244542,379169,264248
7,MO,295456,383382,365243,374585,311803
8,MS,950983,1241029,930251,1140292,750259
9,NC & VA,934477,1175823,913719,969065,815309
10,SC,330763,378534,281269,295023,253350
11,TN,1055807,1269531,1255647,1417345,816251
12,TX,6752694,3140799,2957893,4145636,4905921
